hotelid,one,two,three,four,five,six
83145,1488024,1779511,1526309,1526309,NULL,NULL
93517,1694704,1735725,1871262,1871262,NULL,NULL
98791,436187,1765231,1072672,1072672,753208,2864465
119308,1207214,1407117,1764215,1764215,1763344,909389
351642,400713,453937,449729,449729,787610,496651
351661,376834,424248,352934,352934,1087593,376673
352934,451841,442909,376846,376846,382749,1087593
352941,451932,443364,NULL,NULL,NULL,NULL
352972,392426,498223,376630,376630,443230,446493
353719,453345,376834,424248,424248,443230,1274488
353729,451841,352934,376846,376846,NULL,NULL
354071,1678059,375003,NULL,NULL,NULL,NULL
375003,942523,1139367,354071,354071,1678059,NULL
376630,434059,435498,376665,376665,443230,446493
376665,376630,498223,399307,399307,376734,352972
376673,455417,376834,376846,376846,351661,1087593
376734,453345,353719,451841,451841,443230,478541
376800,1656903,483339,787610,787610,946096,382765
376834,353719,424248,443230,443230,351661,1087593
376846,352934,443230,376734,376734,382749,1087593
382749,451841,442909,353729,353729,376846,NULL
382765,1677592,787610,491009,491009,382789,946096
382789,1677592,438644,491009,491009,382765,496978
382884,351642,458431,498716,498716,483339,382765
385765,1677592,478580,498716,498716,491009,382789
385788,457059,2126937,1677685,1677685,983924,547848
392426,1188650,435498,438233,438233,465000,446493
392481,435150,440020,1507659,1507659,453399,443426
394138,1819741,1206878,1921416,1921416,1206530,485319
394209,1525580,486234,943557,943557,442850,896007
399307,376834,434059,424248,424248,376665,352972
400229,441209,498644,449729,449729,453399,443426
400713,351642,401156,453937,453937,496651,405110
401156,351642,400713,453937,453937,498716,405110
404224,2150546,750327,2242648,2242648,873508,NULL
404868,455847,NULL,NULL,NULL,NULL,NULL
405110,351642,400713,401156,401156,498416,1507659
424248,453345,353719,376834,376834,351661,1087593
425560,1677685,385788,392481,392481,1507659,917961
427497,498644,441291,498607,498607,446299,494836
427515,874429,457639,2341724,2341724,2373499,459432
432833,1525580,394209,750327,750327,442850,1517705
433206,498644,449729,498607,498607,453399,443364
434059,376630,424248,376665,376665,1218927,352972
434336,2189980,NULL,NULL,NULL,NULL,NULL
435150,401156,392481,917961,917961,496651,443426
435498,392426,376630,438233,438233,2300838,465000
436130,1422804,436187,1333915,1333915,988288,1695798
436187,436236,1333915,1318670,1318670,1698222,1207073
436236,440993,1333915,869751,869751,2189094,1287295
438233,392426,435498,1188650,1188650,465000,446493
438637,498644,441291,498607,498607,494836,427497
438644,458431,498716,483339,483339,382789,382765
438861,496978,NULL,NULL,NULL,NULL,NULL
439053,351642,400713,433206,433206,917961,1507659
440020,498644,441291,498607,498607,494836,427497
440993,436236,1788758,1206515,1206515,1814389,1287295
441209,453937,498644,400229,400229,498416,453399
441291,498644,498607,440020,440020,494836,427497
442850,486234,394209,943557,943557,896007,1517705
442909,376834,424248,352934,352934,351661,1087593
443173,462197,1832686,485945,485945,2158125,NULL
443230,453345,353719,376834,376834,376734,352972
443364,433206,352941,1677708,1677708,453399,NULL
443426,441209,2416730,498644,498644,435150,400229
444258,549524,1071934,NULL,NULL,NULL,NULL
444381,1525580,394209,930495,930495,442850,896007
444549,1525580,454474,943557,943557,444381,896007
444721,1764801,1698222,NULL,NULL,NULL,NULL
444756,486234,2260432,2290726,2290726,480402,2370709
444795,441209,453937,1452010,1452010,917961,496651
445072,1709401,983749,485214,485214,445115,1105449
445115,1709401,485214,1318670,1318670,445072,1817806
445230,965088,1526641,1921443,1921443,524713,945829
446299,498644,441291,498607,498607,494836,427497
446493,392426,498223,376630,376630,352972,465000
448029,464470,721379,NULL,NULL,NULL,NULL
448227,549488,498607,619600,619600,494836,427497
449729,498644,400229,1515109,1515109,917961,453399
451841,442909,353729,352934,352934,376734,382749
451932,352941,NULL,NULL,NULL,NULL,NULL
453345,353719,424248,1218927,1218927,443230,1087593
453399,433206,498644,449729,449729,400229,1515109
453937,351642,441209,400713,400713,392481,1507659
454474,394209,750327,444549,444549,444381,896007
455417,1677647,453345,353719,353719,1087593,376673
455847,404868,NULL,NULL,NULL,NULL,NULL
457059,2126937,1677685,385788,385788,983924,547848
457639,874429,972506,2341724,2341724,427515,459432
458431,498716,787610,483339,483339,382884,382765
458583,1593956,1447549,1659913,1659913,NULL,NULL
459432,874429,457639,923828,923828,427515,1521330
461483,2192941,NULL,NULL,NULL,NULL,NULL
461897,486234,750327,923828,923828,873508,1517705
462197,549262,1832686,443173,443173,2158125,NULL
462210,478799,NULL,2178768,2178768,NULL,NULL
464470,448029,NULL,NULL,NULL,NULL,NULL
465000,392426,1188650,435498,435498,2300838,446493
466319,1443024,NULL,NULL,NULL,NULL,NULL
478371,1494830,547841,1576201,1576201,1193596,NULL
478541,453345,353719,455417,455417,376734,1274488
478580,385765,1236462,382789,382789,NULL,NULL
478799,NULL,2178768,935199,935199,NULL,NULL
480402,462197,454474,443173,443173,485945,444549
482488,1525580,394209,750327,750327,442850,1517705
483339,376800,458431,498716,498716,438644,382884
485127,2277346,1238263,2151835,2151835,1837657,1988507
485208,1682142,1682119,1593948,1593948,1694432,1853372
485214,1709401,983749,1318670,1318670,1105449,445072
485319,1819741,1921416,1487965,1487965,445230,394138
485354,1333915,1525776,445115,445115,1499435,497979
485359,1831670,1928326,1927956,1927956,1106684,1735965
485485,753070,436236,497979,497979,1526862,1575922
485507,497954,1525653,497979,497979,1698222,1207073
485598,1526641,1206530,1526740,1526740,445230,945829
485637,1938290,1938151,2063890,2063890,919418,1525834
485945,394209,750327,443173,443173,480402,444549
486234,2260432,750327,2242648,2242648,1517705,873508
486386,1521818,1389188,NULL,NULL,965066,1921233
491009,1677592,385765,382789,382789,382765,1193596
491916,2570235,1799747,1488024,1488024,1279370,2319209
493151,1896351,1518630,1126066,1126066,NULL,NULL
493182,1488015,1207675,1735725,1735725,1525804,1526762
493433,1656903,1236462,491009,491009,382765,1193596
493901,1928269,1927956,1735511,1735511,524713,1525502
494836,498644,441291,498607,498607,427497,438637
495222,874429,923828,972506,972506,930326,2000263
495313,556193,NULL,NULL,NULL,NULL,NULL
496651,351642,400713,458431,458431,787610,444795
496978,1677592,491009,382789,382789,946096,1193596
497004,1411080,NULL,NULL,NULL,NULL,NULL
497880,1852926,2294179,1388618,1388618,1779940,NULL
497954,1285381,1521818,1227662,1227662,524713,1685853
497979,440993,1333915,1526790,1526790,1206458,485354
498223,2145622,376630,376665,376665,352972,446493
498396,1908461,1444940,1712976,1712976,753208,486386
498416,441209,351642,498644,498644,496651,405110
498607,498644,441291,440020,440020,494836,427497
498644,441291,498607,440020,440020,494836,427497
498716,385765,458431,787610,787610,438644,382765
524713,1819807,1526641,485598,485598,445230,945829
547841,1494830,1576201,478371,478371,NULL,NULL
547848,457059,1677685,385788,385788,NULL,NULL
548928,1444940,1735624,893477,893477,753208,1839003
549262,462197,1832686,NULL,NULL,NULL,NULL
549488,1603498,2416730,448227,448227,494836,427497
549524,444258,1071934,NULL,NULL,NULL,NULL
556193,495313,NULL,NULL,NULL,NULL,NULL
619600,2416730,549488,448227,448227,427497,438637
673255,787080,376800,1320555,1320555,400229,483339
677337,2657612,NULL,NULL,NULL,NULL,NULL
683555,1694704,814976,1577509,1577509,1747669,2362658
704566,1754823,1840208,1795959,1795959,1839335,752357
711529,1814729,1689696,1675970,1675970,524713,944521
721379,448029,NULL,NULL,NULL,NULL,NULL
721880,942523,1139367,375003,375003,NULL,NULL
728689,1348550,1651328,NULL,NULL,NULL,NULL
731192,1558290,1736499,2209617,2209617,1426105,1246626
731505,1981542,1675970,NULL,NULL,NULL,NULL
731974,1754823,752471,2143443,2143443,1193751,1741886
732458,1256182,873618,1487914,1487914,2294366,1255842
745038,751146,NULL,NULL,NULL,NULL,NULL
745218,3019441,1824601,1741905,1741905,802560,752287
748694,760716,1521818,753083,753083,1764801,1765603
749218,1544168,1610450,1635967,1635967,1264161,NULL
750327,486234,2260432,2242648,2242648,485945,873508
751146,1741905,1741964,1840324,1840324,983658,802560
752287,745218,1824601,1741905,1741905,1741964,752967
752312,1839430,NULL,NULL,NULL,NULL,NULL
752321,1316533,NULL,NULL,NULL,NULL,NULL
752357,491916,1158301,1795959,1795959,1741886,1989162
752402,1840324,NULL,NULL,NULL,NULL,NULL
752471,1754823,1013234,1840605,1840605,1839335,1840234
752530,1754823,1824691,752471,752471,1839335,1840234
752649,1840324,NULL,NULL,NULL,NULL,NULL
752724,1246985,1249015,1795043,1795043,1735148,1747250
752933,965088,1426105,1559763,1559763,1921465,1348380
752967,1840654,1741905,1799777,1799777,983658,802560
752998,1668459,NULL,NULL,NULL,NULL,NULL
753070,1731171,1730412,795531,795531,486386,1656214
753083,440993,1101631,1752258,1752258,1814389,1814516
753169,1732808,1760726,1868335,1868335,1577509,1845703
753208,753070,1822113,1735879,1735879,1839003,486386
753232,711529,2069419,1542140,1542140,1707763,1247673
753355,1526231,1771106,1799747,1799747,1675164,1763991
753412,1736499,731192,1635967,1635967,NULL,1320283
753467,2096232,NULL,NULL,NULL,NULL,NULL
753504,815113,NULL,NULL,NULL,NULL,NULL
760611,2609708,2371680,1610966,1610966,NULL,NULL
760716,1555903,1736499,1218619,1218619,1736546,1537324
773808,1558290,1555903,1736499,1736499,1561900,1928139
774724,436236,869751,485598,485598,988350,485354
787080,1320555,2126937,673255,673255,425560,1507659
787610,376800,458431,498716,498716,382884,382765
790346,1928408,2178967,2022783,2022783,NULL,909921
795531,1731171,1241726,1745545,1745545,1072672,1735386
802560,3019441,1840654,1741905,1741905,983658,1840371
814273,2063633,1068810,NULL,NULL,NULL,NULL
814478,1928015,1454707,1211065,1211065,1218994,1814796
814530,1446547,1572637,1000446,1000446,NULL,NULL
814556,2165485,NULL,NULL,NULL,NULL,NULL
814700,1006258,1525953,2144685,2144685,1227662,1525338
814712,1795111,1575915,1831391,1831391,1503351,1968626
814714,1558290,1451923,1928521,1928521,1426105,1232902
814752,1320283,NULL,NULL,NULL,NULL,NULL
814770,1558290,1736499,731192,731192,1426105,814714
814976,683555,1694704,1577509,1577509,1871262,2362658
815047,1921416,1562304,1921443,1921443,1559763,485319
815072,983749,1333915,2377103,2377103,NULL,NULL
815113,753504,NULL,NULL,NULL,NULL,NULL
815197,1735425,1735537,1206920,1206920,1442884,1735148
815227,814530,1446547,1450770,1450770,1000446,NULL
815365,945829,NULL,NULL,NULL,NULL,NULL
869751,440993,436236,2189094,2189094,1287295,1575922
873425,1569685,1256151,1247762,1247762,1764801,1765603
873508,486234,394209,750327,750327,1659190,1008816
873552,2375813,1578205,1304365,1304365,1830193,NULL
873618,1256182,1207866,1487914,1487914,NULL,NULL
874136,1754823,752471,1013234,1013234,1839335,1840234
874429,495222,457639,923828,923828,2341724,459432
893477,1240133,1502957,1635967,1635967,NULL,753412
893558,1828129,1118999,1610450,1610450,1756428,NULL
895973,1732808,1542901,1339965,1339965,1845683,1868357
895981,1797061,1450770,1982140,1982140,2028400,2028215
896007,454474,394209,943557,943557,444381,442850
909280,1333915,1828690,NULL,NULL,NULL,NULL
909282,1303109,1812367,752724,752724,NULL,NULL
909389,1407117,1901631,1772812,1772812,1764100,1779511
909884,1400396,NULL,NULL,NULL,NULL,NULL
909898,1206492,445072,1695798,1695798,NULL,NULL
909921,790346,2022783,2377103,2377103,NULL,NULL
916149,1647957,1832042,1688077,1688077,1235617,2385751
917961,498644,449729,392481,392481,439053,1507659
919322,1814658,NULL,1752258,1752258,1756428,1417342
919397,1938130,1264161,2063687,2063687,1509525,1258233
919418,1938279,1938354,1928521,1928521,1938060,2063687
923828,874429,495222,972506,972506,930326,459432
928816,1323294,1237498,1236346,1236346,1240010,1745681
930326,874429,495222,923828,923828,1008816,2000263
930376,1735053,1752323,1773153,1773153,1377758,1503351
930483,1248921,1747562,2165141,2165141,991230,1694432
930495,1525580,943557,480402,480402,444381,1517705
930572,1206878,1736499,1249612,1249612,814714,1525502
930642,1732808,1339965,1577509,1577509,NULL,NULL
931810,1400399,NULL,NULL,NULL,NULL,NULL
932857,2205636,1747736,NULL,NULL,NULL,NULL
932969,1207579,497979,1236678,1236678,NULL,NULL
935199,478799,NULL,2178768,2178768,NULL,NULL
935411,1206840,2290527,1451923,1451923,1831276,1820024
937663,1126019,1218891,1928015,1928015,1765603,1106684
937732,937663,1521818,485214,485214,1006264,1820740
937969,493182,NULL,NULL,NULL,NULL,NULL
939385,1249340,NULL,NULL,NULL,NULL,NULL
939411,1284869,NULL,NULL,NULL,NULL,NULL
940839,2294179,497880,1445475,1445475,NULL,NULL
941477,2137963,1921416,1771320,1771320,1831330,1968626
942523,1139367,721880,375003,375003,NULL,NULL
943048,1235576,1232892,1207579,1207579,1747626,1348380
943212,1928015,1218891,1206696,1206696,445115,1106684
943557,1525580,394209,930495,930495,444381,896007
944521,1218891,1675970,1218994,1218994,1814389,1525338
945829,485598,1921443,1389188,1389188,445230,394138
946096,1677592,376800,1656903,1656903,382789,382765
950440,1678100,983944,1067770,1067770,NULL,NULL
965066,1735678,1548390,945829,945829,486386,1921233
965088,1831670,1865540,1818534,1818534,1389188,445230
972506,874429,495222,457639,457639,2373499,930326
983658,751146,1741905,983669,983669,NULL,802560
983669,1840654,1234168,1741905,1741905,802560,1840371
983730,745218,751146,1741964,1741964,752287,NULL
983749,1709401,1218891,485214,485214,445072,1525338
983924,457059,2126937,1677685,1677685,425560,NULL
983944,1678100,1067770,950440,950440,NULL,NULL
988288,440993,1422804,1206742,1206742,1072635,1525614
988350,436187,1517221,1526823,1526823,1525614,1575922
988366,440993,1987848,1814729,1814729,1487825,1257787
988426,1788831,1158082,1745944,1745944,NULL,NULL
991165,1526986,1207130,2165141,2165141,1812361,1313071
991179,2192423,1419445,1026444,1026444,1525804,1320283
991212,1928269,2192423,1206696,1206696,1374660,2385751
991230,1526986,1207130,1812361,1812361,991165,1313071
992671,1667401,1251381,1793331,1793331,NULL,NULL
993155,1942074,1417481,1793296,1793296,1793331,NULL
994491,2065381,NULL,NULL,NULL,NULL,NULL
999597,1074655,NULL,NULL,NULL,NULL,NULL
1000446,814530,1450770,1572637,1572637,815227,2011932
1006258,2188926,1218891,1218994,1218994,1814389,944521
1006264,1451923,1675970,1814596,1814596,1548390,1817806
1008212,1067258,NULL,NULL,NULL,NULL,NULL
1008816,486234,495222,750327,750327,930326,2000263
1013078,1754823,752471,1840190,1840190,1839335,1840234
1013234,1754823,752471,1772812,1772812,1741886,1840234
1014490,485127,1613672,1685727,1685727,1822380,1839003
1019284,1793162,2189173,NULL,NULL,NULL,NULL
1026444,1812351,1906656,2192423,2192423,991179,945829
1067258,1008212,NULL,NULL,NULL,NULL,NULL
1067770,1678100,983944,950440,950440,NULL,NULL
1068810,814273,NULL,NULL,NULL,NULL,NULL
1071934,444258,549524,NULL,NULL,NULL,NULL
1072635,1659241,1218891,1814389,1814389,1765603,1256197
1072672,1502957,1451923,1745545,1745545,1765603,1257787
1074655,999597,NULL,NULL,NULL,NULL,NULL
1085613,491916,1526231,2083015,2083015,1526309,2319209
1087593,453345,376834,424248,424248,351661,376673
1101631,440993,753083,1548390,1548390,1218968,944521
1105449,1006258,485214,1006264,1006264,1675970,445072
1106317,1303109,1814729,1685727,1685727,988366,1348380
1106684,1709401,1928015,1218891,1218891,445115,1817806
1118111,1134251,1526531,NULL,NULL,NULL,NULL
1118999,1828129,1610450,1828525,1828525,1756428,NULL
1125958,1488015,1207843,1736381,1736381,2385751,2111007
1126019,937663,1521818,1525776,1525776,1072672,486386
1126035,440993,1928015,1218891,1218891,445115,1499435
1126066,493151,1896351,1247747,1247747,NULL,NULL
1134202,1101631,436236,1287295,1287295,NULL,NULL
1134251,1526531,1118111,NULL,NULL,NULL,NULL
1139367,942523,721880,375003,375003,NULL,NULL
1140655,1938266,1938290,1938151,1938151,1525834,485637
1143302,1675970,NULL,NULL,NULL,NULL,NULL
1143380,1900601,1994943,1143489,1143489,1822380,2312392
1143489,1900601,1143380,1207843,1207843,1734622,1814389
1158082,988426,NULL,NULL,NULL,NULL,NULL
1158200,1318670,NULL,NULL,NULL,NULL,NULL
1158301,1754823,752471,1795959,1795959,1989162,1840234
1188650,2547561,392426,438233,438233,465000,446493
1193514,1761658,2165141,991165,991165,1575919,1227694
1193596,1656903,491009,493433,493433,496978,382765
1193751,1754823,1840605,1234011,1234011,1839335,1384385
1202193,1207291,1072672,1228196,1228196,1311435,1575384
1206246,1709401,436187,1206492,1206492,445072,1207073
1206306,1662974,1752323,1206920,1206920,1735148,1752391
1206419,2188926,440993,1422804,1422804,1526681,1206246
1206458,1333915,1814729,1206742,1206742,497979,1831258
1206492,1709401,485214,445072,445072,1206246,1207073
1206515,440993,1101631,1333915,1333915,1218994,1814389
1206530,1206878,1921416,1487965,1487965,485319,394138
1206544,1735053,1812367,1207579,1207579,1831258,1377758
1206593,440993,436236,1206742,1206742,1206246,1575922
1206696,1928269,991212,943212,943212,1927956,1374660
1206742,1206840,1207579,1667356,1667356,1236678,1543382
1206840,1206742,1207579,1747626,1747626,1236678,1831276
1206878,930572,2195278,1521818,1521818,1525502,1921233
1206920,1752323,1442884,1525878,1525878,815197,1206306
1207073,1709401,485507,1206492,1206492,1206246,1698222
1207130,2165141,991230,1487764,1487764,991165,1313071
1207166,1207214,1526231,1799747,1799747,1763991,1279370
1207214,1488024,2189113,1526309,1526309,1763388,1279370
1207291,1422804,1207130,1228196,1228196,1526603,1575384
1207496,683555,1694704,814976,814976,1845683,2362658
1207579,1206840,1535514,1575878,1575878,1575915,1236678
1207675,493182,1735725,1902733,1902733,1526762,1845703
1207706,1264271,2375813,2028744,2028744,1578205,NULL
1207843,1542793,991212,1845690,1845690,1206492,1125958
1207866,1256182,1487914,1274436,1274436,1255842,2331534
1211065,NULL,814478,1981542,1981542,NULL,NULL
1216463,1968626,NULL,NULL,NULL,NULL,NULL
1216552,1507999,NULL,1389188,1389188,1264161,1814389
1216895,1558290,1736499,731192,731192,1426105,1246626
1217197,1793182,NULL,NULL,NULL,NULL,NULL
1217749,1732370,1928156,2151835,2151835,1837657,1988507
1218002,1253974,NULL,NULL,NULL,NULL,NULL
1218619,760716,2192423,1206696,1206696,NULL,NULL
1218891,1928015,1521818,1927956,1927956,944521,1525338
1218927,453345,353719,424248,424248,443230,1274488
1218968,1101631,NULL,1647957,1647957,1828285,944521
1218994,1562757,1756428,1814389,1814389,944521,1814516
1221570,873425,1558290,1736499,1736499,1561900,1247762
1221802,2160304,1667401,1705430,1705430,2158455,1793350
1223334,2165175,1747562,1487764,1487764,NULL,NULL
1223643,1833057,1561900,1451923,1451923,NULL,1232902
1227662,773808,1502957,1241726,1241726,1731037,1235617
1227694,1502957,1241726,1745545,1745545,1193514,1235617
1228196,1207291,1830667,1526603,1526603,1311435,1202193
1229710,1535514,1831258,1236678,1236678,NULL,NULL
1231126,1304365,NULL,NULL,NULL,NULL,NULL
1231266,1747562,1207130,1320058,1320058,991165,2325843
1231429,1861703,1812361,NULL,NULL,NULL,NULL
1232892,1235576,943048,NULL,NULL,NULL,NULL
1232902,1833057,1561900,1761585,1761585,814714,1223643
1232936,1488015,NULL,NULL,NULL,NULL,NULL
1232955,1240133,1248017,NULL,NULL,1732004,1828525
1233209,2375813,1830193,NULL,NULL,NULL,NULL
1234011,1754823,752471,1603265,1603265,1839335,1840234
1234168,1840654,1741905,983669,983669,802560,1840371
1234560,2165485,NULL,NULL,NULL,NULL,NULL
1235388,1866429,1262422,1728512,1728512,1865728,1747250
1235479,1578375,2151835,1507344,1507344,1828568,1988507
1235536,1006258,NULL,NULL,NULL,NULL,NULL
1235576,1232892,1747626,943048,943048,NULL,NULL
1235617,814770,1241726,1635967,1635967,1451868,NULL
1236346,1323294,928816,2205636,2205636,1240010,1745681
1236388,2242746,NULL,NULL,NULL,NULL,NULL
1236462,385765,1677592,478580,478580,382789,NULL
1236678,1206840,1207579,1535514,1535514,1831276,1543382
1237498,928816,NULL,NULL,NULL,NULL,NULL
1237573,2276707,NULL,NULL,NULL,NULL,NULL
1237597,2165175,1853041,1320058,1320058,1243545,1861606
1238263,2151835,1118999,1507344,1507344,1837657,1988507
1238331,NULL,1736499,1752258,1752258,1218994,1389188
1240010,1323294,928816,2205636,2205636,2242746,1745681
1240133,1558290,1736499,731192,731192,1732004,1246626
1241726,1502957,1745545,1635967,1635967,1235617,NULL
1241836,711529,1921443,524713,524713,394138,NULL
1242520,2208841,NULL,NULL,NULL,NULL,NULL
1243545,2165175,1248755,1861703,1861703,2004156,1227694
1246051,1408070,NULL,NULL,NULL,NULL,NULL
1246236,1928439,NULL,NULL,NULL,NULL,NULL
1246296,1764801,NULL,NULL,NULL,NULL,NULL
1246555,1400396,NULL,NULL,NULL,NULL,NULL
1246626,1240133,1736499,731192,731192,1732004,2004028
1246985,1735537,NULL,1249015,1249015,752724,1747250
1247295,1921443,1921465,NULL,NULL,NULL,NULL
1247374,445072,2189036,1228196,1228196,NULL,NULL
1247650,1422804,1689696,795531,795531,NULL,NULL
1247654,1814635,1987848,445115,445115,1548390,1724150
1247673,1489811,1688052,1731171,1731171,1105449,1698222
1247747,493151,1126066,NULL,NULL,NULL,NULL
1247762,873425,1731171,1569685,1569685,1764801,1765603
1247793,1928269,1419445,965088,965088,2111007,2318131
1247946,1488015,1685484,NULL,NULL,NULL,NULL
1247993,1202193,NULL,NULL,NULL,NULL,NULL
1248017,1889294,1232955,NULL,NULL,1758403,1685484
1248696,2189036,1526603,NULL,NULL,NULL,NULL
1248755,1561900,1451923,1732004,1732004,1243545,1249146
1248761,1262796,1938266,2010324,2010324,1140655,1258233
1248921,930483,1747562,1207130,1207130,1487764,1694432
1249015,1833057,1866429,1928521,1928521,1728512,1747250
1249146,1558290,1736499,731192,731192,1928139,1732004
1249340,939385,1665647,1426779,1426779,NULL,NULL
1249612,1558290,1831670,1340338,1340338,1426105,1559763
1249650,1831670,1249612,1426105,1426105,2004028,1320283
1250970,2195278,919397,1525834,1525834,1258233,NULL
1251041,2375813,873552,1262244,1262244,NULL,NULL
1251381,1793288,1779796,2189173,2189173,1705430,1726795
1253366,1731137,NULL,NULL,NULL,NULL,NULL
1253408,2382909,NULL,NULL,NULL,NULL,NULL
1253974,1218002,NULL,NULL,NULL,NULL,NULL
1255842,1487914,1207866,1274436,1274436,1256078,2294366
1256078,1255842,NULL,NULL,NULL,NULL,NULL
1256116,1928326,943212,1735646,1735646,2385751,1537324
1256151,873425,1569685,1814767,1814767,1764801,1765603
1256182,873618,1207866,732458,732458,2331534,NULL
1256197,1736499,731192,1715268,1715268,1765603,1320283
1256424,1256182,1207866,2200402,2200402,NULL,NULL
