hotelid,zone,mgrgroup,gdlat,gdlon,isstraightconnect,star
1818,656,0,31.16614342,120.3383484,F,3
1835,NULL,NULL,NULL,NULL,F,2
1866,-1,0,31.33208466,120.5788116,F,3
1875,211,0,31.31507301,120.6201172,F,3
1945,NULL,NULL,NULL,NULL,F,2
1961,NULL,NULL,NULL,NULL,F,2
1979,NULL,0,NULL,NULL,F,0
1995,NULL,NULL,NULL,NULL,F,0
3916,-1,0,NULL,NULL,F,3
7455,NULL,0,NULL,NULL,F,3
7456,NULL,0,NULL,NULL,F,0
7477,NULL,0,NULL,NULL,F,0
7512,864,0,31.25247192,120.5218277,F,2
7528,-1,0,NULL,NULL,F,3
7567,NULL,0,NULL,NULL,F,0
7595,NULL,0,NULL,NULL,F,0
7628,NULL,0,NULL,NULL,F,0
7666,-1,0,NULL,NULL,F,2
7673,211,0,31.31820297,120.6286392,F,3
7683,NULL,0,NULL,NULL,F,0
8521,-1,0,-1,-1,F,4
8998,NULL,0,NULL,NULL,F,2
9400,211,290,31.30587959,120.6170425,F,3
9782,NULL,0,NULL,NULL,F,0
9792,211,0,31.31238937,120.6291199,F,2
9835,NULL,0,NULL,NULL,F,0
10996,-1,0,NULL,NULL,F,3
11545,NULL,0,NULL,NULL,F,0
11582,NULL,0,NULL,NULL,F,0
13514,-1,0,NULL,NULL,F,3
13516,NULL,0,NULL,NULL,F,2
13592,NULL,0,NULL,NULL,F,3
15087,NULL,0,NULL,NULL,F,0
15705,NULL,0,NULL,NULL,F,0
16764,NULL,0,NULL,NULL,F,0
19662,689,0,31.3079319,120.5905685,F,2
19798,689,0,31.31531906,120.606163,F,3
20065,212,0,31.29411888,120.6356812,F,3
20253,211,0,NULL,NULL,F,2
21500,211,0,31.29615974,120.6179733,F,2
21677,715,0,31.29310036,120.6362381,F,4
21897,211,0,31.29234695,120.636673,F,3
21987,212,0,31.29113197,120.6165466,F,3
22098,211,0,31.3082962,120.6238098,F,3
22160,211,0,31.30156517,120.6272354,F,3
22456,212,0,31.29349518,120.6361542,F,3
22573,-1,0,31.26571083,120.6547089,F,2
22641,689,0,31.31355286,120.6000824,F,3
22694,-1,0,31.31514359,120.5740814,F,3
22835,212,0,31.29733276,120.6241608,F,3
22971,-1,0,31.29699516,120.604126,F,3
23036,212,0,31.2852211,120.6253204,F,3
23343,211,0,31.3137455,120.6253204,F,2
23666,-1,0,31.29899406,120.6323395,F,3
23962,208,0,31.30869293,120.5904236,F,3
24113,689,0,31.30031967,120.6081696,F,3
24173,-1,0,31.31240273,120.6037979,F,2
24622,211,0,31.31085587,120.6382675,F,2
26700,211,0,31.30087662,120.6165314,F,2
27141,-1,0,31.27216339,120.6159592,F,3
27858,212,0,31.28094673,120.6396637,F,3
27934,-1,NULL,NULL,NULL,F,2
28577,209,0,31.32221031,120.6821747,F,5
45554,212,0,31.28017807,120.6247864,F,3
45601,689,0,31.31057549,120.6001282,F,3
47006,-1,0,NULL,NULL,F,2
47201,-1,0,31.2586174,120.6298752,F,2
47263,212,0,31.2827034,120.612114,F,3
48146,689,0,31.31288147,120.5893936,F,2
48786,863,0,31.38426208,120.7139435,F,4
49261,211,0,31.30852699,120.6317749,F,2
49268,211,0,31.3101387,120.6130524,F,2
50576,208,0,31.32690048,120.6167145,F,2
50973,-1,0,NULL,NULL,F,3
51077,211,187,31.31464195,120.6203613,F,2
52001,-1,0,31.27980614,120.8666916,F,3
53183,210,0,31.30912971,120.5697708,F,2
58222,656,0,31.22339249,120.4634476,F,2
58568,-1,0,30.95488167,120.3894119,F,3
59184,210,0,31.30512047,120.5277252,F,2
59559,210,0,31.29319763,120.5655594,F,2
63466,210,0,31.32295036,120.5648117,F,3
64048,-1,0,-1,-1,F,5
64111,210,0,31.30381966,120.5761414,F,2
64207,-1,0,31.25035095,120.6599884,F,2
64601,211,0,31.30904007,120.6376877,F,4
65533,211,321,31.31357002,120.6243362,F,2
65756,-1,0,NULL,NULL,F,0
65895,211,0,31.30056381,120.61586,F,2
68058,689,0,31.31978607,120.6008072,F,3
68908,689,0,31.30426788,120.5912933,F,2
69389,-1,0,31.16245461,120.6456757,F,3
69583,-1,0,-1,-1,F,0
69696,210,321,31.30843925,120.5497589,F,2
70457,1060,0,31.32173347,120.6467819,F,3
73655,-1,0,NULL,NULL,F,0
74393,-1,0,NULL,NULL,F,0
74478,715,0,31.29874229,120.6398392,F,3
74803,211,0,31.30850792,120.6434326,F,2
75124,-1,0,NULL,NULL,F,0
75308,-1,0,NULL,NULL,F,0
75378,-1,0,31.16123772,120.6612091,F,2
75406,-1,0,-1,-1,F,0
76878,NULL,0,NULL,NULL,F,0
77010,-1,0,NULL,NULL,F,0
77461,211,0,31.30906105,120.6232376,F,3
77504,211,0,31.30144882,120.6253204,F,2
77869,715,0,31.29114914,120.6313095,F,3
78175,-1,0,31.15483475,120.7264023,F,2
78501,-1,0,NULL,NULL,F,0
78785,656,0,31.0742321,120.2970276,F,4
79061,NULL,0,NULL,NULL,F,0
79336,689,0,31.30904388,120.6095657,F,2
79601,NULL,0,NULL,NULL,F,0
79823,NULL,0,NULL,NULL,F,0
80568,-1,0,31.26498985,120.6419525,F,2
80611,-1,0,NULL,NULL,F,0
80845,-1,0,NULL,NULL,F,0
81394,-1,0,31.27272987,120.6273575,F,3
81585,-1,0,NULL,NULL,F,0
81979,-1,0,NULL,NULL,F,0
83145,-1,0,31.15750122,120.6511383,F,2
83250,211,0,31.31134987,120.6324615,F,2
85158,211,0,31.31853867,120.6296234,F,2
85780,211,0,-1,-1,F,2
85872,212,321,31.28216934,120.6296234,F,2
85988,689,321,31.31106949,120.6062317,F,2
86056,-1,0,NULL,NULL,F,0
86158,-1,0,NULL,NULL,F,0
86253,689,0,31.31193924,120.6009064,F,3
86342,689,0,31.29728508,120.5908279,F,2
86566,211,0,31.30892944,120.6219406,F,2
86692,689,0,31.30816078,120.6108093,F,2
86862,-1,0,31.16825867,120.6516647,F,2
86866,212,321,31.29111862,120.6110992,F,2
87143,209,0,31.31484604,120.7229614,F,3
87221,-1,321,31.20072365,120.5595398,F,2
