starttime,hotelid,notcancelcii
2015-1-1,352972,217
2015-1-1,376834,307
2015-1-1,382765,77
2015-1-1,400229,55
2015-1-1,404224,139
2015-1-1,404868,93
2015-1-1,425560,39
2015-1-1,435150,47
2015-1-1,438233,105
2015-1-1,438644,21
2015-1-1,440020,137
2015-1-1,443426,37
2015-1-1,444258,87
2015-1-1,457059,11
2015-1-1,458431,31
2015-1-1,458583,7
2015-1-1,461897,7
2015-1-1,485208,7
2015-1-1,485319,9
2015-1-1,485598,27
2015-1-1,493433,5
2015-1-1,495558,59
2015-1-1,496651,131
2015-1-1,497004,11
2015-1-1,498223,75
2015-1-1,498416,69
2015-1-1,549524,9
2015-1-1,723934,7
2015-1-1,750327,15
2015-1-1,752473,5
2015-1-1,753083,5
2015-1-1,753232,7
2015-1-1,773808,7
2015-1-1,787610,63
2015-1-1,795531,19
2015-1-1,814273,13
2015-1-1,873508,5
2015-1-1,896007,45
2015-1-1,930376,17
2015-1-1,930483,9
2015-1-1,930572,11
2015-1-1,943212,33
2015-1-1,944521,7
2015-1-1,988288,9
2015-1-1,991179,9
2015-1-1,1026444,19
2015-1-1,1105449,15
2015-1-1,1125958,5
2015-1-1,1140655,21
2015-1-1,1193751,5
2015-1-1,1206306,27
2015-1-1,1206530,5
2015-1-1,1206696,15
2015-1-1,1206742,55
2015-1-1,1221802,7
2015-1-1,1241726,5
2015-1-1,1246985,3
2015-1-1,1248755,7
2015-1-1,1256197,3
2015-1-1,1274488,5
2015-1-1,1316335,7
2015-1-1,1320058,7
2015-1-1,1339940,3
2015-1-1,1442884,17
2015-1-1,1487764,11
2015-1-1,1487914,7
2015-1-1,1489811,31
2015-1-1,1502957,5
2015-1-1,1503351,7
2015-1-1,1507592,15
2015-1-1,1517221,17
2015-1-1,1525502,7
2015-1-1,1525834,29
2015-1-1,1525863,25
2015-1-1,1525878,17
2015-1-1,1526178,3
2015-1-1,1526309,3
2015-1-1,1526603,27
2015-1-1,1526740,3
2015-1-1,1542793,17
2015-1-1,1542901,13
2015-1-1,1548559,3
2015-1-1,1559669,3
2015-1-1,1575384,21
2015-1-1,1575915,5
2015-1-1,1590918,9
2015-1-1,1626917,3
2015-1-1,1647957,7
2015-1-1,1659190,5
2015-1-1,1677914,73
2015-1-1,1685853,25
2015-1-1,1688077,7
2015-1-1,1701339,3
2015-1-1,1702479,11
2015-1-1,1705430,3
2015-1-1,1713193,7
2015-1-1,1731037,3
2015-1-1,1735204,3
2015-1-1,1736381,15
2015-1-1,1747529,5
2015-1-1,1752323,9
2015-1-1,1756388,11
2015-1-1,1767442,5
2015-1-1,1793288,3
2015-1-1,1794839,3
2015-1-1,1797103,3
2015-1-1,1812367,29
2015-1-1,1815609,3
2015-1-1,1816689,3
2015-1-1,1839352,3
2015-1-1,1839430,5
2015-1-1,1840172,7
2015-1-1,1840335,33
2015-1-1,1840371,5
2015-1-1,1845683,7
2015-1-1,1861703,3
2015-1-1,1871668,5
2015-1-1,1927956,5
2015-1-1,1928015,11
2015-1-1,1928139,5
2015-1-1,1929153,3
2015-1-1,2000263,9
2015-1-1,2011720,9
2015-1-1,2023090,5
2015-1-1,2028400,3
2015-1-1,2072344,3
2015-1-1,2145622,31
2015-1-1,2178768,13
2015-1-1,2188751,27
2015-1-1,2374719,5
2015-1-1,351661,219
2015-1-1,352934,167
2015-1-1,353719,23
2015-1-1,376630,67
2015-1-1,392426,209
2015-1-1,394138,25
2015-1-1,394209,9
2015-1-1,401156,95
2015-1-1,405110,203
2015-1-1,424248,99
2015-1-1,427497,169
2015-1-1,434059,47
2015-1-1,434336,61
2015-1-1,440993,27
2015-1-1,442850,15
2015-1-1,443364,29
2015-1-1,444721,5
2015-1-1,448227,83
2015-1-1,451841,93
2015-1-1,451932,111
2015-1-1,453345,61
2015-1-1,453399,99
2015-1-1,459432,25
2015-1-1,462197,55
2015-1-1,478371,37
2015-1-1,478541,9
2015-1-1,478799,31
2015-1-1,482488,9
2015-1-1,485507,27
2015-1-1,494836,89
2015-1-1,495313,23
2015-1-1,496978,19
2015-1-1,497954,9
2015-1-1,547848,17
2015-1-1,549488,55
2015-1-1,704566,23
2015-1-1,711529,31
2015-1-1,721379,83
2015-1-1,728689,9
2015-1-1,745218,3
2015-1-1,753070,23
2015-1-1,753169,5
2015-1-1,753208,7
2015-1-1,753504,11
2015-1-1,787080,27
2015-1-1,869751,115
2015-1-1,893477,3
2015-1-1,916149,7
2015-1-1,919418,9
2015-1-1,929284,9
2015-1-1,930495,19
2015-1-1,965088,13
2015-1-1,983944,5
2015-1-1,991212,27
2015-1-1,1006264,11
2015-1-1,1008816,23
2015-1-1,1028502,5
2015-1-1,1071934,79
2015-1-1,1072635,3
2015-1-1,1126066,41
2015-1-1,1139367,79
2015-1-1,1206515,31
2015-1-1,1206544,7
2015-1-1,1206840,9
2015-1-1,1206878,21
2015-1-1,1206920,7
2015-1-1,1207291,23
2015-1-1,1207866,9
2015-1-1,1235617,3
2015-1-1,1236678,39
2015-1-1,1240133,3
2015-1-1,1247654,3
2015-1-1,1247747,5
2015-1-1,1285482,3
2015-1-1,1303109,23
2015-1-1,1303442,13
2015-1-1,1318670,63
2015-1-1,1319973,3
2015-1-1,1320455,3
2015-1-1,1419445,3
2015-1-1,1456056,3
2015-1-1,1507696,53
2015-1-1,1515109,141
2015-1-1,1520595,5
2015-1-1,1525524,21
2015-1-1,1525953,3
2015-1-1,1526203,5
2015-1-1,1526623,9
2015-1-1,1526641,7
2015-1-1,1526823,43
2015-1-1,1542589,3
2015-1-1,1543830,15
2015-1-1,1552151,17
2015-1-1,1559714,3
2015-1-1,1559763,5
2015-1-1,1564952,3
2015-1-1,1575919,3
2015-1-1,1636006,7
2015-1-1,1668459,21
2015-1-1,1675970,11
2015-1-1,1677647,31
2015-1-1,1678059,111
2015-1-1,1724150,21
2015-1-1,1735386,11
2015-1-1,1735965,17
2015-1-1,1764801,3
2015-1-1,1788758,3
2015-1-1,1793182,3
2015-1-1,1795067,3
2015-1-1,1812351,9
2015-1-1,1814553,5
2015-1-1,1828285,5
2015-1-1,1828690,3
2015-1-1,1832042,3
2015-1-1,1840605,3
2015-1-1,1845703,7
2015-1-1,1866092,9
2015-1-1,1889294,17
2015-1-1,1902733,17
2015-1-1,1921443,7
2015-1-1,1928439,5
2015-1-1,2158455,3
2015-1-1,2164979,9
2015-1-1,2165485,3
2015-1-1,2294366,5
2015-1-1,2324014,21
2015-1-1,2370709,11
2015-1-1,119308,3
2015-1-1,351642,191
2015-1-1,376673,163
2015-1-1,382789,31
2015-1-1,382884,85
2015-1-1,385765,47
2015-1-1,399307,101
2015-1-1,436130,79
2015-1-1,436187,59
2015-1-1,439740,49
2015-1-1,441291,97
2015-1-1,443793,11
2015-1-1,444549,53
2015-1-1,445115,9
2015-1-1,446299,71
2015-1-1,446493,95
2015-1-1,448029,95
2015-1-1,448674,7
2015-1-1,461483,45
2015-1-1,461590,3
2015-1-1,466319,13
2015-1-1,478580,5
2015-1-1,481889,19
2015-1-1,485637,7
2015-1-1,486234,5
2015-1-1,498607,19
2015-1-1,498644,43
2015-1-1,548928,11
2015-1-1,721880,89
2015-1-1,732458,3
2015-1-1,745038,3
2015-1-1,751146,35
2015-1-1,752724,3
2015-1-1,814770,3
2015-1-1,873618,3
2015-1-1,874429,43
2015-1-1,917961,21
2015-1-1,983924,11
2015-1-1,991165,5
2015-1-1,1006258,15
2015-1-1,1013078,3
2015-1-1,1017511,5
2015-1-1,1087593,153
2015-1-1,1206246,63
2015-1-1,1206458,13
2015-1-1,1207130,19
2015-1-1,1207675,5
2015-1-1,1207843,25
2015-1-1,1211065,7
2015-1-1,1216552,3
2015-1-1,1217749,3
2015-1-1,1218927,55
2015-1-1,1218968,3
2015-1-1,1218994,3
2015-1-1,1227694,3
2015-1-1,1234560,3
2015-1-1,1247673,11
2015-1-1,1256452,3
2015-1-1,1262796,3
2015-1-1,1276041,5
2015-1-1,1311435,5
2015-1-1,1316533,9
2015-1-1,1339965,3
2015-1-1,1348511,5
2015-1-1,1374660,11
2015-1-1,1389188,11
2015-1-1,1444940,5
2015-1-1,1445475,5
2015-1-1,1487825,33
2015-1-1,1487979,11
2015-1-1,1494830,11
2015-1-1,1499435,73
2015-1-1,1521330,3
2015-1-1,1525614,7
2015-1-1,1525804,5
2015-1-1,1526231,3
2015-1-1,1526790,13
2015-1-1,1552613,5
2015-1-1,1564978,5
2015-1-1,1575922,11
2015-1-1,1578461,11
2015-1-1,1603265,5
2015-1-1,1620713,25
2015-1-1,1647973,3
2015-1-1,1656903,7
2015-1-1,1659913,11
2015-1-1,1677592,137
2015-1-1,1677819,11
2015-1-1,1678077,47
2015-1-1,1678123,7
2015-1-1,1711554,15
2015-1-1,1731137,3
2015-1-1,1735537,3
2015-1-1,1735624,5
2015-1-1,1747626,23
2015-1-1,1760726,7
2015-1-1,1773153,15
2015-1-1,1795111,11
2015-1-1,1814214,9
2015-1-1,1814389,13
2015-1-1,1814516,5
2015-1-1,1819741,7
2015-1-1,1820024,3
2015-1-1,1824509,3
2015-1-1,1828172,7
2015-1-1,1839003,13
2015-1-1,1840190,5
2015-1-1,1845690,59
2015-1-1,1866365,3
2015-1-1,1938151,5
2015-1-1,1938290,5
2015-1-1,2011417,5
2015-1-1,2063983,7
2015-1-1,2083015,7
2015-1-1,2111007,5
2015-1-1,2165141,21
2015-1-1,2165214,3
2015-1-1,2188917,45
2015-1-1,2188926,29
2015-1-1,2242746,9
2015-1-1,2290527,13
2015-1-1,2330836,3
2015-1-1,2341724,5
2015-1-1,2373499,51
2015-1-1,352941,135
2015-1-1,375003,77
2015-1-1,376800,35
2015-1-1,382749,403
2015-1-1,392481,59
2015-1-1,427515,27
2015-1-1,432833,101
2015-1-1,433206,5
2015-1-1,435498,69
2015-1-1,436236,35
2015-1-1,438637,13
2015-1-1,442909,27
2015-1-1,444381,53
2015-1-1,444756,25
2015-1-1,444795,59
2015-1-1,445072,9
2015-1-1,449729,119
2015-1-1,453937,107
2015-1-1,454474,75
2015-1-1,462210,27
2015-1-1,468493,5
2015-1-1,481935,45
2015-1-1,485359,19
2015-1-1,485945,19
2015-1-1,486386,11
2015-1-1,491916,15
2015-1-1,493182,17
2015-1-1,495222,27
2015-1-1,497979,31
2015-1-1,498716,63
2015-1-1,683555,33
2015-1-1,731974,3
2015-1-1,752287,17
2015-1-1,753467,3
2015-1-1,814976,13
2015-1-1,895981,23
2015-1-1,935199,49
2015-1-1,942523,59
2015-1-1,943557,31
2015-1-1,945829,13
2015-1-1,965066,15
2015-1-1,983749,37
2015-1-1,1067258,13
2015-1-1,1067770,13
2015-1-1,1072672,15
2015-1-1,1074655,3
2015-1-1,1085162,5
2015-1-1,1126035,13
2015-1-1,1202193,69
2015-1-1,1206419,149
2015-1-1,1206593,39
2015-1-1,1207214,3
2015-1-1,1207579,47
2015-1-1,1228196,15
2015-1-1,1234168,3
2015-1-1,1236462,55
2015-1-1,1248761,5
2015-1-1,1255842,3
2015-1-1,1256116,3
2015-1-1,1257787,19
2015-1-1,1273972,5
2015-1-1,1284573,11
2015-1-1,1287295,33
2015-1-1,1300913,3
2015-1-1,1304012,5
2015-1-1,1312950,3
2015-1-1,1313071,7
2015-1-1,1318298,5
2015-1-1,1348320,3
2015-1-1,1385258,3
2015-1-1,1407386,7
2015-1-1,1439481,5
2015-1-1,1443024,9
2015-1-1,1465799,27
2015-1-1,1487965,19
2015-1-1,1491921,3
2015-1-1,1517705,13
2015-1-1,1525580,15
2015-1-1,1525776,15
2015-1-1,1526762,11
2015-1-1,1526986,5
2015-1-1,1535514,7
2015-1-1,1541992,3
2015-1-1,1542140,3
2015-1-1,1562304,3
2015-1-1,1611401,5
2015-1-1,1677685,89
2015-1-1,1678100,21
2015-1-1,1685484,13
2015-1-1,1707763,9
2015-1-1,1709401,41
2015-1-1,1712976,9
2015-1-1,1735053,5
2015-1-1,1735511,7
2015-1-1,1735646,3
2015-1-1,1735879,5
2015-1-1,1736226,7
2015-1-1,1741905,3
2015-1-1,1747250,9
2015-1-1,1747562,7
2015-1-1,1747736,3
2015-1-1,1752391,3
2015-1-1,1763991,3
2015-1-1,1799777,7
2015-1-1,1814584,9
2015-1-1,1814695,3
2015-1-1,1814729,5
2015-1-1,1868335,3
2015-1-1,1902946,15
2015-1-1,1921416,9
2015-1-1,1928113,5
2015-1-1,1928156,5
2015-1-1,2028332,9
2015-1-1,2110800,3
2015-1-1,2188943,5
2015-1-1,2260432,21
2015-1-1,2362658,31
2015-1-1,2375813,5
2015-1-1,353729,149
2015-1-1,354071,143
2015-1-1,376665,157
2015-1-1,376734,249
2015-1-1,376846,435
2015-1-1,385788,53
2015-1-1,400713,223
2015-1-1,438861,13
2015-1-1,439053,123
2015-1-1,441209,41
2015-1-1,443173,27
2015-1-1,443230,199
2015-1-1,445230,11
2015-1-1,447916,19
2015-1-1,455417,157
2015-1-1,455847,23
2015-1-1,457639,41
2015-1-1,464470,37
2015-1-1,465000,121
